chrom,chromStart,chromEnd,strand,GM12878,lifted
chr1,629682,629938,+,0,False
chr1,629811,630067,+,0,False
chr1,633773,634029,+,1,False
chr1,634167,634423,+,0,False
chr1,1033742,1033998,+,0,False
chr1,1034513,1034769,+,0,False
chr1,1047604,1047860,+,0,False
chr1,1231929,1232185,-,0,False
chr1,1307942,1308198,-,0,False
chr1,1375312,1375568,-,0,False
chr1,1692789,1693045,-,0,False
chr1,1832340,1832596,-,0,False
chr1,1915368,1915624,+,0,False
chr1,2232207,2232463,+,0,False
chr1,3021220,3021476,+,0,False
chr1,3652200,3652456,+,0,False
chr1,3690442,3690698,+,0,False
chr1,6179992,6180248,-,0,False
chr1,8871928,8872184,-,0,False
chr1,9717558,9717814,+,0,False
chr1,11099188,11099444,+,0,False
chr1,11654341,11654597,-,0,False
chr1,11691646,11691902,-,0,False
chr1,11907896,11908152,+,0,False
chr1,11981744,11982000,+,0,False
chr1,12229842,12230098,+,0,False
chr1,12617834,12618090,-,0,False
chr1,12618014,12618270,-,0,False
chr1,13585212,13585468,+,0,False
chr1,15153536,15153792,+,0,False
chr1,15438143,15438399,+,0,False
chr1,15438173,15438429,+,0,False
chr1,15438201,15438457,+,0,False
chr1,16048598,16048854,+,0,False
chr1,16367375,16367631,+,0,False
chr1,16367705,16367961,+,0,False
chr1,16645354,16645610,+,0,False
chr1,16647455,16647711,+,0,False
chr1,16889328,16889584,-,0,False
chr1,19288764,19289020,-,0,False
chr1,19644023,19644279,+,0,False
chr1,21293024,21293280,+,0,False
chr1,21983944,21984200,+,0,False
chr1,21983963,21984219,+,0,False
chr1,21983985,21984241,+,0,False
chr1,22007112,22007368,+,0,False
chr1,22636254,22636510,+,0,False
chr1,23791702,23791958,+,0,False
chr1,23979927,23980183,-,1,False
chr1,24112162,24112418,-,0,False
chr1,25272241,25272497,+,0,False
chr1,25998123,25998379,-,0,False
chr1,26374525,26374781,-,0,False
chr1,26542677,26542933,+,0,False
chr1,27154284,27154540,-,0,False
chr1,27154532,27154788,-,0,False
chr1,27154811,27155067,-,0,False
chr1,27154925,27155181,-,0,False
chr1,27154960,27155216,-,0,False
chr1,28096429,28096685,-,0,False
chr1,28177264,28177520,-,0,False
chr1,28811874,28812130,+,0,False
chr1,29236295,29236551,+,0,False
chr1,29350079,29350335,-,0,False
chr1,31373329,31373585,-,0,False
chr1,31499812,31500068,+,0,False
chr1,31499875,31500131,+,0,False
chr1,31506058,31506314,+,0,False
chr1,31635530,31635786,-,0,False
chr1,32014026,32014282,+,0,False
chr1,32651364,32651620,+,0,False
chr1,33256331,33256587,+,0,False
chr1,33863772,33864028,+,0,False
chr1,35573063,35573319,+,0,False
chr1,36155638,36155894,+,0,False
chr1,36320373,36320629,+,0,False
chr1,36476740,36476996,-,0,False
chr1,37034201,37034457,-,0,False
chr1,39491346,39491602,+,0,False
chr1,39639967,39640223,-,0,False
chr1,40463601,40463857,+,0,False
chr1,40816935,40817191,+,0,False
chr1,44775393,44775649,+,0,False
chr1,44775405,44775661,+,0,False
chr1,45521931,45522187,-,0,False
chr1,45601520,45601776,+,0,False
chr1,46719058,46719314,-,0,False
chr1,46941330,46941586,-,0,False
chr1,47067195,47067451,+,0,False
chr1,47437513,47437769,+,0,False
chr1,50103631,50103887,+,0,False
chr1,51840441,51840697,-,0,False
chr1,52911613,52911869,-,0,False
