chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
chr1,839495,840495,.,1,0,1,0,1
chr1,840481,841481,.,0,1,1,0,1
chr1,845081,846081,.,0,0,0,0,1
chr1,855460,856460,.,0,0,1,0,0
chr1,856148,857148,.,0,0,1,0,1
chr1,857952,858952,.,0,0,1,0,0
chr1,918002,919002,.,0,1,1,1,1
chr1,936395,937395,.,0,0,1,1,0
chr1,941463,942463,.,0,0,0,1,0
chr1,945401,946401,.,0,1,1,1,1
chr1,956187,957187,.,1,1,1,1,1
chr1,993188,994188,.,0,0,0,1,1
chr1,993825,994825,.,0,1,1,1,1
chr1,1004316,1005316,.,1,1,1,1,1
chr1,1004920,1005920,.,0,0,0,0,1
chr1,1008304,1009304,.,0,0,0,0,1
chr1,1014464,1015464,.,1,1,1,1,1
chr1,1060500,1061500,.,0,0,0,1,1
chr1,1063512,1064512,.,0,0,0,1,0
chr1,1070448,1071448,.,0,0,1,0,1
chr1,1093284,1094284,.,0,1,0,0,0
chr1,1106814,1107814,.,0,1,0,0,0
chr1,1135769,1136769,.,0,1,0,0,1
chr1,1136406,1137406,.,0,1,0,0,1
chr1,1143962,1144962,.,0,1,0,0,0
chr1,1173061,1174061,.,0,1,0,1,0
chr1,1185949,1186949,.,0,1,0,0,0
chr1,1265328,1266328,.,0,0,1,0,1
chr1,1282842,1283842,.,0,0,1,1,0
chr1,1286380,1287380,.,1,0,1,0,0
chr1,1294358,1295358,.,0,0,1,0,0
chr1,1295433,1296433,.,1,0,1,1,1
chr1,1343063,1344063,.,0,1,1,1,1
chr1,1368128,1369128,.,0,0,1,1,1
chr1,1609241,1610241,.,0,1,0,0,0
chr1,1611459,1612459,.,0,0,0,0,1
chr1,1706491,1707491,.,0,1,0,0,0
chr1,1708586,1709586,.,0,1,1,1,1
chr1,1713867,1714867,.,0,1,0,0,1
chr1,1743929,1744929,.,0,1,0,1,1
chr1,1771682,1772682,.,0,0,1,0,0
chr1,1793345,1794345,.,0,0,1,1,0
chr1,1802708,1803708,.,1,1,0,1,1
chr1,1814443,1815443,.,1,1,1,1,1
chr1,1840142,1841142,.,0,1,1,1,1
chr1,1951090,1952090,.,0,1,0,0,0
chr1,1978334,1979334,.,0,0,0,1,0
chr1,2068259,2069259,.,0,0,1,0,0
chr1,2111254,2112254,.,0,0,1,0,1
chr1,2135535,2136535,.,0,1,0,1,1
chr1,2139744,2140744,.,1,0,1,1,1
chr1,2171763,2172763,.,0,0,0,1,1
