chromosome,start,end,strand,A549,CACO2,GM12878,H1,H9,HEK293,HELAS3,HEPG2,HL60,JURKAT,K562,MCF7,PC3
chr1,839495,840495,.,1,0,0,0,0,1,1,0,1,0,1,0,0
chr1,840481,841481,.,0,0,1,0,1,0,1,0,1,0,1,0,0
chr1,845081,846081,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,855460,856460,.,0,0,0,1,1,0,1,0,0,0,0,0,0
chr1,856148,857148,.,0,0,0,0,0,1,1,0,0,0,1,0,0
chr1,857952,858952,.,0,0,0,0,0,1,1,0,0,0,0,1,0
chr1,868124,869124,.,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,918002,919002,.,0,0,1,1,0,0,1,1,0,0,1,0,1
chr1,936395,937395,.,0,1,0,0,0,0,1,1,0,0,0,0,1
chr1,941463,942463,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,945401,946401,.,0,1,1,1,1,1,1,1,0,0,1,1,0
chr1,956187,957187,.,1,1,1,1,1,0,1,1,0,0,1,1,1
chr1,993188,994188,.,0,1,0,0,0,0,0,1,0,0,1,0,1
chr1,993825,994825,.,0,0,1,0,0,0,1,1,0,0,1,0,1
chr1,1004316,1005316,.,1,1,1,1,1,1,1,1,1,1,1,1,1
chr1,1004920,1005920,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,1008304,1009304,.,0,0,0,0,1,0,0,0,0,0,1,1,0
chr1,1014464,1015464,.,1,1,1,0,1,1,1,1,0,0,1,1,1
chr1,1060500,1061500,.,0,1,0,0,0,0,0,1,0,0,1,0,0
chr1,1063512,1064512,.,0,1,0,0,0,0,0,1,0,0,0,0,0
chr1,1070448,1071448,.,0,0,0,0,0,0,1,0,0,0,1,0,0
chr1,1093284,1094284,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1106814,1107814,.,0,0,1,1,0,0,0,0,0,0,0,0,0
chr1,1135769,1136769,.,0,0,1,1,1,0,0,0,0,0,1,0,0
chr1,1136406,1137406,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,1143962,1144962,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1173061,1174061,.,0,0,1,0,1,0,0,1,0,0,0,0,1
chr1,1185949,1186949,.,0,0,1,0,0,0,0,0,0,0,0,0,0
