chromosome,start,end,strand,A549,CACO2,GM12878,HEK293,HELAS3,HEPG2,HL60,K562,MCF7,PC3
chr1,839737,839837,.,1,0,0,1,1,0,1,1,0,0
chr1,840761,840861,.,0,0,1,0,1,0,1,1,0,0
chr1,845531,845631,.,0,0,0,0,0,0,0,1,0,0
chr1,855805,855905,.,0,0,0,0,1,0,0,0,0,0
chr1,856663,856763,.,0,0,0,1,1,0,0,1,0,0
chr1,858397,858497,.,0,0,0,1,1,0,0,0,1,0
chr1,868574,868674,.,0,0,0,0,0,0,0,0,1,0
chr1,918454,918554,.,0,0,1,0,1,1,0,1,0,1
chr1,936809,936909,.,0,1,0,0,1,1,0,0,0,1
chr1,942031,942131,.,0,0,0,0,0,1,0,0,0,0
chr1,945839,945939,.,0,1,1,1,1,1,0,1,1,0
chr1,956614,956714,.,1,1,1,0,1,1,0,1,1,1
chr1,993613,993713,.,0,1,0,0,0,1,0,1,0,1
chr1,994252,994352,.,0,0,1,0,1,1,0,1,0,1
chr1,1004715,1004815,.,1,1,1,1,1,1,1,1,1,1
chr1,1005370,1005470,.,0,0,0,0,0,0,0,1,0,0
chr1,1008777,1008877,.,0,0,0,0,0,0,0,1,1,0
chr1,1014808,1014908,.,1,1,1,1,1,1,0,1,1,1
chr1,1060949,1061049,.,0,1,0,0,0,1,0,1,0,0
chr1,1063928,1064028,.,0,1,0,0,0,1,0,0,0,0
chr1,1070893,1070993,.,0,0,0,0,1,0,0,1,0,0
chr1,1093903,1094003,.,0,0,1,0,0,0,0,0,0,0
chr1,1107251,1107351,.,0,0,1,0,0,0,0,0,0,0
chr1,1136347,1136447,.,0,0,1,0,0,0,0,1,0,0
chr1,1136826,1136926,.,0,0,1,0,0,0,0,1,0,0
chr1,1144398,1144498,.,0,0,1,0,0,0,0,0,0,0
chr1,1173610,1173710,.,0,0,1,0,0,1,0,0,0,1
chr1,1186416,1186516,.,0,0,1,0,0,0,0,0,0,0
chr1,1265778,1265878,.,0,0,0,0,1,0,0,1,0,1
chr1,1283088,1283188,.,0,0,0,0,1,1,0,0,1,1
chr1,1286829,1286929,.,1,0,0,0,1,0,0,0,0,0
chr1,1294826,1294926,.,0,0,0,0,1,0,0,0,0,0
chr1,1295975,1296075,.,1,0,0,0,1,1,0,1,0,1
chr1,1343495,1343595,.,0,0,1,1,1,1,1,1,0,1
chr1,1368569,1368669,.,0,1,0,0,1,1,0,1,0,0
chr1,1609799,1609899,.,0,0,1,0,0,0,0,0,1,0
chr1,1611909,1612009,.,0,0,0,1,0,0,0,1,0,1
chr1,1706956,1707056,.,0,0,1,0,0,0,0,0,0,0
chr1,1708929,1709029,.,0,0,1,1,1,1,0,1,1,1
chr1,1714515,1714615,.,0,0,1,0,0,0,0,1,0,0
chr1,1744381,1744481,.,0,0,1,0,0,1,0,1,0,0
chr1,1772107,1772207,.,0,0,0,0,1,0,0,0,0,0
chr1,1793794,1793894,.,0,1,0,0,1,1,1,0,0,1
chr1,1803223,1803323,.,1,0,1,0,0,1,1,1,1,1
chr1,1814984,1815084,.,1,1,1,0,1,1,1,1,0,1
chr1,1840617,1840717,.,0,1,1,1,1,1,1,1,1,1
chr1,1951674,1951774,.,0,0,1,0,0,0,0,0,0,0
chr1,1952208,1952308,.,0,1,0,0,0,0,0,0,0,0
chr1,1978836,1978936,.,0,1,0,0,0,1,0,0,0,0
chr1,2059912,2060012,.,0,0,0,0,0,0,0,0,1,0
chr1,2068712,2068812,.,0,0,0,0,1,0,0,0,1,0
chr1,2082848,2082948,.,0,0,0,0,0,0,1,0,0,0
chr1,2111886,2111986,.,0,0,0,0,1,0,0,1,0,1
chr1,2135876,2135976,.,0,0,1,0,0,1,0,1,0,0
chr1,2140201,2140301,.,1,0,0,0,1,1,0,1,0,1
chr1,2162682,2162782,.,0,0,0,0,0,0,0,0,0,1
chr1,2172219,2172319,.,0,0,0,0,0,1,0,1,0,0
chr1,2177681,2177781,.,0,0,0,1,0,0,0,0,0,1
chr1,2230718,2230818,.,1,0,1,0,0,0,0,0,0,0
chr1,2231995,2232095,.,0,0,1,1,0,0,0,0,0,0
chr1,2232632,2232732,.,0,0,1,0,0,0,1,0,0,0
chr1,2245825,2245925,.,0,1,0,1,1,1,0,0,0,1
chr1,2246671,2246771,.,0,0,1,0,0,1,0,1,0,0
chr1,2253648,2253748,.,1,0,0,0,0,0,0,0,0,1
chr1,2254101,2254201,.,0,0,0,0,1,0,0,0,0,0
chr1,2477609,2477709,.,0,1,1,1,1,1,1,1,1,1
chr1,2478423,2478523,.,1,1,1,1,1,0,0,1,0,1
chr1,2509804,2509904,.,0,0,1,0,1,1,0,0,0,1
chr1,2574050,2574150,.,0,0,1,0,1,0,0,0,0,0
chr1,2574654,2574754,.,1,1,1,1,1,1,0,1,1,1
chr1,3087062,3087162,.,0,0,0,0,0,1,0,0,0,0
chr1,3111888,3111988,.,0,0,0,1,0,0,0,0,0,0
chr1,3134023,3134123,.,0,0,0,1,0,0,0,0,0,0
chr1,3136005,3136105,.,0,0,0,0,0,1,0,0,0,0
