chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
chr1,838787,840787,.,1,0,1,0,1
chr1,839811,841811,.,0,1,1,0,1
chr1,844581,846581,.,0,0,0,0,1
chr1,854855,856855,.,0,0,1,0,0
chr1,855713,857713,.,0,0,1,0,1
chr1,857447,859447,.,0,0,1,0,0
chr1,917504,919504,.,0,1,1,1,1
chr1,935859,937859,.,0,0,1,1,0
chr1,941081,943081,.,0,0,0,1,0
chr1,944889,946889,.,0,1,1,1,1
chr1,955664,957664,.,1,1,1,1,1
chr1,992663,994663,.,0,0,0,1,1
chr1,993302,995302,.,0,1,1,1,1
chr1,1003765,1005765,.,1,1,1,1,1
chr1,1004420,1006420,.,0,0,0,0,1
chr1,1007827,1009827,.,0,0,0,0,1
chr1,1013858,1015858,.,1,1,1,1,1
chr1,1059999,1061999,.,0,0,0,1,1
chr1,1062978,1064978,.,0,0,0,1,0
chr1,1069943,1071943,.,0,0,1,0,1
chr1,1092953,1094953,.,0,1,0,0,0
chr1,1106301,1108301,.,0,1,0,0,0
chr1,1135397,1137397,.,0,1,0,0,1
chr1,1135876,1137876,.,0,1,0,0,1
chr1,1143448,1145448,.,0,1,0,0,0
chr1,1172660,1174660,.,0,1,0,1,0
chr1,1185466,1187466,.,0,1,0,0,0
chr1,1264828,1266828,.,0,0,1,0,1
chr1,1282138,1284138,.,0,0,1,1,0
chr1,1285879,1287879,.,1,0,1,0,0
chr1,1293876,1295876,.,0,0,1,0,0
chr1,1295025,1297025,.,1,0,1,1,1
chr1,1342545,1344545,.,0,1,1,1,1
chr1,1367619,1369619,.,0,0,1,1,1
chr1,1608849,1610849,.,0,1,0,0,0
chr1,1610959,1612959,.,0,0,0,0,1
chr1,1706006,1708006,.,0,1,0,0,0
chr1,1707979,1709979,.,0,1,1,1,1
chr1,1713565,1715565,.,0,1,0,0,1
chr1,1743431,1745431,.,0,1,0,1,1
chr1,1771157,1773157,.,0,0,1,0,0
chr1,1792844,1794844,.,0,0,1,1,0
chr1,1802273,1804273,.,1,1,0,1,1
chr1,1814034,1816034,.,1,1,1,1,1
chr1,1839667,1841667,.,0,1,1,1,1
chr1,1950724,1952724,.,0,1,0,0,0
chr1,1977886,1979886,.,0,0,0,1,0
chr1,2067762,2069762,.,0,0,1,0,0
chr1,2110936,2112936,.,0,0,1,0,1
chr1,2134926,2136926,.,0,1,0,1,1
chr1,2139251,2141251,.,1,0,1,1,1
chr1,2171269,2173269,.,0,0,0,1,1
chr1,2229768,2231768,.,1,1,0,0,0
chr1,2231045,2233045,.,0,1,0,0,0
chr1,2231682,2233682,.,0,1,0,0,0
chr1,2244875,2246875,.,0,0,1,1,0
chr1,2245721,2247721,.,0,1,0,1,1
chr1,2252698,2254698,.,1,0,0,0,0
chr1,2253151,2255151,.,0,0,1,0,0
chr1,2476659,2478659,.,0,1,1,1,1
chr1,2477473,2479473,.,1,1,1,0,1
chr1,2508854,2510854,.,0,1,1,1,0
chr1,2573100,2575100,.,0,1,1,0,0
chr1,2573704,2575704,.,1,1,1,1,1
chr1,3086112,3088112,.,0,0,0,1,0
chr1,3135055,3137055,.,0,0,0,1,0
chr1,3228864,3230864,.,0,0,0,1,0
chr1,3230227,3232227,.,0,0,0,1,0
chr1,3231838,3233838,.,0,0,0,1,0
chr1,3236289,3238289,.,0,0,0,1,0
chr1,3242539,3244539,.,0,0,0,1,0
chr1,3250889,3252889,.,0,0,0,1,0
chr1,3266543,3268543,.,0,0,0,1,0
chr1,3372817,3374817,.,0,0,0,1,0
chr1,3373966,3375966,.,0,0,1,1,0
chr1,3376319,3378319,.,0,0,0,1,0
chr1,3398028,3400028,.,0,0,1,1,0
chr1,3419919,3421919,.,0,0,1,0,0
chr1,3459077,3461077,.,0,0,1,0,0
chr1,3463144,3465144,.,0,0,1,0,0
chr1,3520413,3522413,.,1,0,0,0,0
chr1,3572471,3574471,.,0,1,0,0,0
chr1,3580599,3582599,.,0,1,0,0,0
chr1,3581250,3583250,.,0,1,0,0,0
chr1,3589372,3591372,.,0,1,0,0,0
chr1,3593247,3595247,.,0,1,0,0,0
chr1,3608359,3610359,.,0,1,0,0,0
chr1,3619179,3621179,.,0,0,0,0,1
chr1,3633786,3635786,.,0,1,0,0,0
chr1,3727112,3729112,.,0,0,1,0,0
chr1,3816968,3818968,.,0,1,1,1,1
chr1,4326647,4328647,.,0,1,0,1,0
chr1,4393529,4395529,.,0,0,0,0,1
chr1,5171845,5173845,.,0,0,0,0,1
chr1,5956347,5958347,.,0,0,0,1,0
chr1,6039679,6041679,.,0,0,1,0,0
chr1,6052838,6054838,.,0,1,1,0,1
chr1,6053947,6055947,.,0,1,1,0,0
chr1,6087327,6089327,.,0,1,0,0,0
chr1,6220627,6222627,.,0,0,1,0,0
chr1,6230056,6232056,.,0,0,0,1,0
chr1,6319168,6321168,.,0,1,1,0,0
chr1,6320895,6322895,.,0,0,0,0,1
chr1,6336954,6338954,.,0,0,1,0,0
