chromosome,start,end,strand,A549,CACO2,GM12878,H1,H9,HEK293,HELAS3,HEPG2,HL60,JURKAT,K562,MCF7,PC3
chr1,838995,840995,.,1,0,0,0,0,1,1,0,1,0,1,0,0
chr1,839981,841981,.,0,0,1,0,1,0,1,0,1,0,1,0,0
chr1,844581,846581,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,854960,856960,.,0,0,0,1,1,0,1,0,0,0,0,0,0
chr1,855648,857648,.,0,0,0,0,0,1,1,0,0,0,1,0,0
chr1,857452,859452,.,0,0,0,0,0,1,1,0,0,0,0,1,0
chr1,867624,869624,.,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,917502,919502,.,0,0,1,1,0,0,1,1,0,0,1,0,1
chr1,935895,937895,.,0,1,0,0,0,0,1,1,0,0,0,0,1
chr1,940963,942963,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,944901,946901,.,0,1,1,1,1,1,1,1,0,0,1,1,0
chr1,955687,957687,.,1,1,1,1,1,0,1,1,0,0,1,1,1
chr1,992688,994688,.,0,1,0,0,0,0,0,1,0,0,1,0,1
chr1,993325,995325,.,0,0,1,0,0,0,1,1,0,0,1,0,1
chr1,1003816,1005816,.,1,1,1,1,1,1,1,1,1,1,1,1,1
chr1,1004420,1006420,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,1007804,1009804,.,0,0,0,0,1,0,0,0,0,0,1,1,0
chr1,1013964,1015964,.,1,1,1,0,1,1,1,1,0,0,1,1,1
chr1,1060000,1062000,.,0,1,0,0,0,0,0,1,0,0,1,0,0
chr1,1063012,1065012,.,0,1,0,0,0,0,0,1,0,0,0,0,0
chr1,1069948,1071948,.,0,0,0,0,0,0,1,0,0,0,1,0,0
chr1,1092784,1094784,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1106314,1108314,.,0,0,1,1,0,0,0,0,0,0,0,0,0
chr1,1135269,1137269,.,0,0,1,1,1,0,0,0,0,0,1,0,0
chr1,1135906,1137906,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,1143462,1145462,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1172561,1174561,.,0,0,1,0,1,0,0,1,0,0,0,0,1
chr1,1185449,1187449,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1264828,1266828,.,0,0,0,0,0,0,1,0,0,0,1,0,1
