,chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
0,chr1,839895,840095,.,1,0,1,0,1
1,chr1,840881,841081,.,0,1,1,0,1
2,chr1,845481,845681,.,0,0,0,0,1
3,chr1,855860,856060,.,0,0,1,0,0
4,chr1,856548,856748,.,0,0,1,0,1
5,chr1,858352,858552,.,0,0,1,0,0
6,chr1,918402,918602,.,0,1,1,1,1
7,chr1,936795,936995,.,0,0,1,1,0
8,chr1,941863,942063,.,0,0,0,1,0
9,chr1,945801,946001,.,0,1,1,1,1
10,chr1,956587,956787,.,1,1,1,1,1
11,chr1,993588,993788,.,0,0,0,1,1
12,chr1,994225,994425,.,0,1,1,1,1
13,chr1,1004716,1004916,.,1,1,1,1,1
14,chr1,1005320,1005520,.,0,0,0,0,1
15,chr1,1008704,1008904,.,0,0,0,0,1
16,chr1,1014864,1015064,.,1,1,1,1,1
17,chr1,1060900,1061100,.,0,0,0,1,1
18,chr1,1063912,1064112,.,0,0,0,1,0
19,chr1,1070848,1071048,.,0,0,1,0,1
20,chr1,1093684,1093884,.,0,1,0,0,0
21,chr1,1107214,1107414,.,0,1,0,0,0
22,chr1,1136169,1136369,.,0,1,0,0,1
23,chr1,1136806,1137006,.,0,1,0,0,1
24,chr1,1144362,1144562,.,0,1,0,0,0
25,chr1,1173461,1173661,.,0,1,0,1,0
26,chr1,1186349,1186549,.,0,1,0,0,0
27,chr1,1265728,1265928,.,0,0,1,0,1
28,chr1,1283242,1283442,.,0,0,1,1,0
29,chr1,1286780,1286980,.,1,0,1,0,0
30,chr1,1294758,1294958,.,0,0,1,0,0
31,chr1,1295833,1296033,.,1,0,1,1,1
32,chr1,1343463,1343663,.,0,1,1,1,1
33,chr1,1368528,1368728,.,0,0,1,1,1
34,chr1,1609641,1609841,.,0,1,0,0,0
35,chr1,1611859,1612059,.,0,0,0,0,1
36,chr1,1706891,1707091,.,0,1,0,0,0
37,chr1,1708986,1709186,.,0,1,1,1,1
38,chr1,1714267,1714467,.,0,1,0,0,1
39,chr1,1744329,1744529,.,0,1,0,1,1
40,chr1,1772082,1772282,.,0,0,1,0,0
41,chr1,1793745,1793945,.,0,0,1,1,0
42,chr1,1803108,1803308,.,1,1,0,1,1
43,chr1,1814843,1815043,.,1,1,1,1,1
44,chr1,1840542,1840742,.,0,1,1,1,1
45,chr1,1951490,1951690,.,0,1,0,0,0
46,chr1,1978734,1978934,.,0,0,0,1,0
47,chr1,2068659,2068859,.,0,0,1,0,0
48,chr1,2111654,2111854,.,0,0,1,0,1
49,chr1,2135935,2136135,.,0,1,0,1,1
50,chr1,2140144,2140344,.,1,0,1,1,1
51,chr1,2172163,2172363,.,0,0,0,1,1
52,chr1,2230686,2230886,.,1,1,0,0,0
53,chr1,2231838,2232038,.,0,1,0,0,0
54,chr1,2232562,2232762,.,0,1,0,0,0
55,chr1,2245845,2246045,.,0,0,1,1,0
56,chr1,2246559,2246759,.,0,1,0,1,1
57,chr1,2253597,2253797,.,1,0,0,0,0
58,chr1,2254055,2254255,.,0,0,1,0,0
59,chr1,2477593,2477793,.,0,1,1,1,1
60,chr1,2478446,2478646,.,1,1,1,0,1
61,chr1,2509850,2510050,.,0,1,1,1,0
62,chr1,2574011,2574211,.,0,1,1,0,0
63,chr1,2574453,2574653,.,1,1,1,1,1
64,chr1,3087026,3087226,.,0,0,0,1,0
65,chr1,3136010,3136210,.,0,0,0,1,0
66,chr1,3229834,3230034,.,0,0,0,1,0
67,chr1,3231123,3231323,.,0,0,0,1,0
68,chr1,3232739,3232939,.,0,0,0,1,0
69,chr1,3237241,3237441,.,0,0,0,1,0
70,chr1,3243439,3243639,.,0,0,0,1,0
71,chr1,3251789,3251989,.,0,0,0,1,0
72,chr1,3267443,3267643,.,0,0,0,1,0
73,chr1,3373761,3373961,.,0,0,0,1,0
74,chr1,3375021,3375221,.,0,0,1,1,0
75,chr1,3377206,3377406,.,0,0,0,1,0
76,chr1,3398889,3399089,.,0,0,1,1,0
77,chr1,3420813,3421013,.,0,0,1,0,0
78,chr1,3459952,3460152,.,0,0,1,0,0
79,chr1,3463997,3464197,.,0,0,1,0,0
80,chr1,3521290,3521490,.,1,0,0,0,0
81,chr1,3573371,3573571,.,0,1,0,0,0
82,chr1,3581357,3581557,.,0,1,0,0,0
83,chr1,3582121,3582321,.,0,1,0,0,0
84,chr1,3590280,3590480,.,0,1,0,0,0
85,chr1,3594141,3594341,.,0,1,0,0,0
86,chr1,3609257,3609457,.,0,1,0,0,0
87,chr1,3620080,3620280,.,0,0,0,0,1
88,chr1,3634700,3634900,.,0,1,0,0,0
89,chr1,3728013,3728213,.,0,0,1,0,0
90,chr1,3817759,3817959,.,0,1,1,1,1
91,chr1,4327589,4327789,.,0,1,0,1,0
92,chr1,4394430,4394630,.,0,0,0,0,1
93,chr1,5172753,5172953,.,0,0,0,0,1
94,chr1,5957239,5957439,.,0,0,0,1,0
95,chr1,6040583,6040783,.,0,0,1,0,0
96,chr1,6053755,6053955,.,0,1,1,0,1
97,chr1,6054860,6055060,.,0,1,1,0,0
98,chr1,6088271,6088471,.,0,1,0,0,0
99,chr1,6221517,6221717,.,0,0,1,0,0
100,chr1,6230961,6231161,.,0,0,0,1,0
101,chr1,6320035,6320235,.,0,1,1,0,0
102,chr1,6321664,6321864,.,0,0,0,0,1
103,chr1,6337854,6338054,.,0,0,1,0,0
104,chr1,6341919,6342119,.,0,0,0,1,0
105,chr1,6350263,6350463,.,0,1,0,0,0
106,chr1,6351172,6351372,.,0,1,0,0,0
107,chr1,6354116,6354316,.,0,1,1,0,0
108,chr1,6451695,6451895,.,0,0,1,0,1
109,chr1,6661223,6661423,.,0,1,1,1,1
110,chr1,6709055,6709255,.,0,1,1,1,0
111,chr1,6760801,6761001,.,0,0,0,1,1
112,chr1,6894603,6894803,.,0,1,1,0,1
113,chr1,6943917,6944117,.,0,1,1,1,1
114,chr1,7177690,7177890,.,0,0,1,0,1
115,chr1,7289816,7290016,.,0,0,1,0,0
116,chr1,7313282,7313482,.,0,0,0,1,0
117,chr1,7327733,7327933,.,0,0,1,0,0
118,chr1,7359447,7359647,.,0,0,1,0,0
119,chr1,7462044,7462244,.,1,0,1,0,0
120,chr1,7531201,7531401,.,0,0,1,0,0
121,chr1,7540426,7540626,.,0,0,1,0,0
122,chr1,7609410,7609610,.,1,0,1,0,0
123,chr1,7764637,7764837,.,1,0,1,1,1
124,chr1,7813641,7813841,.,0,0,0,1,0
125,chr1,7843504,7843704,.,1,0,1,1,1
126,chr1,8054307,8054507,.,0,1,1,1,1
127,chr1,8070165,8070365,.,1,0,0,1,1
128,chr1,8076537,8076737,.,0,0,0,1,0
129,chr1,8107902,8108102,.,0,0,1,0,0
130,chr1,8121409,8121609,.,1,0,0,1,0
131,chr1,8137311,8137511,.,0,0,1,1,0
132,chr1,8154625,8154825,.,0,0,1,1,0
133,chr1,8156725,8156925,.,0,1,1,1,1
134,chr1,8157498,8157698,.,0,1,1,1,0
135,chr1,8181028,8181228,.,0,0,1,1,0
136,chr1,8187197,8187397,.,0,0,1,0,0
137,chr1,8187598,8187798,.,0,0,0,1,0
138,chr1,8198111,8198311,.,0,0,1,1,0
139,chr1,8214803,8215003,.,0,0,0,1,0
140,chr1,8215750,8215950,.,0,0,0,1,0
141,chr1,8229875,8230075,.,0,1,0,1,1
142,chr1,8230296,8230496,.,0,0,0,1,0
143,chr1,8250027,8250227,.,0,0,1,1,0
144,chr1,8254672,8254872,.,0,0,1,1,1
145,chr1,8257801,8258001,.,1,0,1,1,0
146,chr1,8262282,8262482,.,1,0,1,1,0
147,chr1,8263918,8264118,.,0,0,0,1,0
148,chr1,8264523,8264723,.,0,0,1,0,0
149,chr1,8272115,8272315,.,0,0,1,1,1
150,chr1,8300117,8300317,.,0,0,0,1,0
151,chr1,8319276,8319476,.,0,0,0,1,0
152,chr1,8343306,8343506,.,0,1,0,0,1
153,chr1,8445864,8446064,.,0,1,0,0,0
154,chr1,8450846,8451046,.,0,1,0,0,0
155,chr1,8457110,8457310,.,0,1,0,0,0
156,chr1,8469783,8469983,.,0,0,1,0,0
157,chr1,8487686,8487886,.,0,1,0,1,1
158,chr1,8488141,8488341,.,0,1,0,0,0
159,chr1,8499057,8499257,.,0,1,0,0,0
160,chr1,8533858,8534058,.,0,1,0,0,0
161,chr1,8571646,8571846,.,0,0,1,0,1
162,chr1,8686579,8686779,.,0,1,1,1,0
163,chr1,8712756,8712956,.,0,1,0,0,0
164,chr1,8720504,8720704,.,0,1,0,0,0
165,chr1,8721838,8722038,.,0,1,0,1,1
166,chr1,8724158,8724358,.,0,1,0,1,0
167,chr1,8762200,8762400,.,1,0,1,1,0
168,chr1,8810269,8810469,.,0,1,1,1,1
169,chr1,8849387,8849587,.,0,1,0,1,1
170,chr1,8858242,8858442,.,0,1,1,1,0
171,chr1,8875010,8875210,.,0,1,1,0,0
172,chr1,8933653,8933853,.,1,1,1,1,0
173,chr1,8953372,8953572,.,0,1,0,1,0
174,chr1,8964044,8964244,.,0,0,1,0,0
175,chr1,8985980,8986180,.,0,0,1,0,0
176,chr1,8999911,9000111,.,0,0,1,0,0
177,chr1,9110991,9111191,.,0,1,0,0,0
178,chr1,9127377,9127577,.,0,1,0,0,0
179,chr1,9179832,9180032,.,0,1,0,0,0
180,chr1,9222950,9223150,.,0,1,1,1,0
181,chr1,9223683,9223883,.,0,1,0,1,0
182,chr1,9223983,9224183,.,0,1,0,1,0
183,chr1,9225038,9225238,.,0,1,0,0,0
184,chr1,9225522,9225722,.,0,1,0,0,0
185,chr1,9241262,9241462,.,0,1,1,1,0
186,chr1,9254213,9254413,.,0,1,0,0,0
187,chr1,9256277,9256477,.,0,1,0,0,0
188,chr1,9291844,9292044,.,0,1,0,0,0
189,chr1,9293544,9293744,.,0,0,1,1,0
190,chr1,9298770,9298970,.,0,0,1,0,0
191,chr1,9355501,9355701,.,0,0,1,0,0
192,chr1,9473675,9473875,.,0,1,1,0,0
193,chr1,9486511,9486711,.,0,1,0,0,0
194,chr1,9488933,9489133,.,1,1,1,1,1
195,chr1,9535204,9535404,.,0,1,1,1,0
196,chr1,9689305,9689505,.,0,1,0,0,0
197,chr1,9700608,9700808,.,0,1,0,0,0
198,chr1,9760569,9760769,.,0,1,0,0,0
199,chr1,9765364,9765564,.,0,1,0,0,0
200,chr1,9840938,9841138,.,0,1,0,0,0
201,chr1,9856784,9856984,.,0,1,0,0,0
202,chr1,9885431,9885631,.,0,0,1,0,0
203,chr1,9889607,9889807,.,0,0,0,1,0
204,chr1,9912524,9912724,.,0,0,1,0,0
205,chr1,9960520,9960720,.,0,0,0,1,0
206,chr1,10270012,10270212,.,1,0,1,1,0
207,chr1,10359249,10359449,.,0,0,1,1,1
208,chr1,10447938,10448138,.,0,0,1,0,0
209,chr1,10496877,10497077,.,1,0,0,1,0
210,chr1,10556216,10556416,.,0,1,0,0,0
211,chr1,10557244,10557444,.,0,1,0,0,0
212,chr1,10558348,10558548,.,0,0,1,0,1
213,chr1,10559158,10559358,.,0,0,0,1,1
214,chr1,10745775,10745975,.,0,0,0,1,0
215,chr1,10804822,10805022,.,0,1,0,0,0
216,chr1,10816026,10816226,.,0,0,1,0,0
217,chr1,10864616,10864816,.,0,0,1,0,0
218,chr1,10927208,10927408,.,0,1,0,0,0
219,chr1,10959966,10960166,.,0,0,1,0,0
220,chr1,10960399,10960599,.,0,0,1,0,0
221,chr1,10997576,10997776,.,0,0,0,1,0
222,chr1,11040345,11040545,.,0,0,0,1,0
223,chr1,11122953,11123153,.,0,0,1,1,0
224,chr1,11415652,11415852,.,0,0,0,1,0
225,chr1,11559648,11559848,.,0,0,0,1,1
226,chr1,11761802,11762002,.,0,0,1,0,0
227,chr1,11791871,11792071,.,0,0,0,0,1
228,chr1,11798304,11798504,.,0,0,0,1,0
229,chr1,11942971,11943171,.,0,0,0,1,1
230,chr1,11968726,11968926,.,0,1,1,1,1
231,chr1,11990066,11990266,.,0,1,0,1,1
232,chr1,12050836,12051036,.,0,1,1,1,0
233,chr1,12100646,12100846,.,0,1,0,0,0
234,chr1,12112184,12112384,.,0,1,0,0,1
235,chr1,12114378,12114578,.,0,1,0,0,0
236,chr1,12124695,12124895,.,0,1,0,0,0
237,chr1,12126156,12126356,.,0,1,0,1,0
238,chr1,12127923,12128123,.,0,1,0,0,0
239,chr1,12193159,12193359,.,0,1,1,0,0
240,chr1,12213405,12213605,.,0,1,0,0,0
241,chr1,12217943,12218143,.,0,1,0,1,0
242,chr1,12222064,12222264,.,0,1,0,0,0
243,chr1,12228605,12228805,.,0,1,0,0,1
244,chr1,12231687,12231887,.,0,1,0,0,0
245,chr1,12232172,12232372,.,0,1,0,0,0
246,chr1,12233779,12233979,.,0,1,0,0,1
247,chr1,12236273,12236473,.,0,1,0,0,0
248,chr1,12238133,12238333,.,0,1,0,0,1
249,chr1,12239122,12239322,.,0,0,0,1,0
250,chr1,12240551,12240751,.,0,0,0,1,0
251,chr1,12405970,12406170,.,0,1,0,0,0
252,chr1,12485598,12485798,.,0,0,1,1,1
253,chr1,12493412,12493612,.,1,0,0,0,1
254,chr1,12494007,12494207,.,0,1,0,0,1
255,chr1,12508794,12508994,.,0,1,0,0,1
256,chr1,12533445,12533645,.,0,0,0,0,1
257,chr1,12544432,12544632,.,0,0,1,0,1
258,chr1,12579119,12579319,.,0,1,0,0,0
259,chr1,12589507,12589707,.,1,0,0,1,1
260,chr1,12599953,12600153,.,0,1,1,0,0
261,chr1,12600589,12600789,.,0,0,0,1,0
262,chr1,12609778,12609978,.,0,0,1,0,1
263,chr1,12614081,12614281,.,1,0,0,1,1
264,chr1,12674521,12674721,.,1,1,1,1,1
265,chr1,12675680,12675880,.,0,1,0,1,0
266,chr1,12717704,12717904,.,0,0,0,0,1
267,chr1,13917085,13917285,.,0,1,0,0,0
268,chr1,14028025,14028225,.,0,1,0,0,0
269,chr1,14029378,14029578,.,0,1,0,0,0
270,chr1,14054864,14055064,.,0,1,0,0,0
271,chr1,14638453,14638653,.,0,1,0,0,0
272,chr1,14765120,14765320,.,0,0,0,0,1
273,chr1,14843821,14844021,.,0,1,0,0,0
274,chr1,14847106,14847306,.,0,1,0,0,0
275,chr1,14881635,14881835,.,0,1,0,0,0
276,chr1,14924180,14924380,.,0,1,0,0,0
277,chr1,14926457,14926657,.,0,1,0,0,0
278,chr1,14992514,14992714,.,1,0,0,0,0
279,chr1,15059537,15059737,.,0,1,0,0,0
280,chr1,15111279,15111479,.,0,0,0,0,1
281,chr1,15240307,15240507,.,0,0,0,1,0
282,chr1,15247350,15247550,.,0,1,0,0,0
283,chr1,15266508,15266708,.,0,0,0,1,0
284,chr1,15335462,15335662,.,0,0,0,1,0
285,chr1,15417025,15417225,.,0,0,0,1,0
286,chr1,15499153,15499353,.,0,0,0,1,0
287,chr1,15519488,15519688,.,0,1,1,1,1
288,chr1,15570252,15570452,.,0,1,0,0,0
289,chr1,15572648,15572848,.,0,1,0,0,0
290,chr1,15575750,15575950,.,0,1,0,0,1
291,chr1,15588020,15588220,.,0,1,0,1,0
292,chr1,15649549,15649749,.,0,1,0,0,0
293,chr1,15664281,15664481,.,0,0,1,0,0
294,chr1,15666972,15667172,.,0,1,1,0,0
295,chr1,15673170,15673370,.,0,0,1,0,1
296,chr1,15697627,15697827,.,0,0,0,1,0
297,chr1,15738289,15738489,.,0,1,1,0,0
298,chr1,15738723,15738923,.,0,0,1,0,0
299,chr1,15742795,15742995,.,0,1,1,1,1
300,chr1,15743878,15744078,.,0,1,1,0,0
301,chr1,15786476,15786676,.,0,0,1,0,0
302,chr1,15827946,15828146,.,0,0,1,0,0
303,chr1,15946712,15946912,.,0,1,1,0,0
304,chr1,16007331,16007531,.,0,0,1,0,0
305,chr1,16087180,16087380,.,1,1,1,1,1
306,chr1,16125563,16125763,.,1,1,1,0,0
307,chr1,16158484,16158684,.,0,0,1,1,1
308,chr1,16175892,16176092,.,1,1,1,1,1
309,chr1,16176609,16176809,.,0,1,1,1,1
310,chr1,16209447,16209647,.,0,0,1,0,1
311,chr1,16212825,16213025,.,0,1,1,1,1
312,chr1,16227741,16227941,.,0,1,0,1,1
313,chr1,16276155,16276355,.,0,1,1,0,0
314,chr1,16277687,16277887,.,0,1,1,0,1
315,chr1,16291823,16292023,.,0,1,0,1,0
316,chr1,16292733,16292933,.,0,1,0,1,0
