chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
chr1,834787,844787,.,1,0,1,0,1
chr1,835811,845811,.,0,1,1,0,1
chr1,840581,850581,.,0,0,0,0,1
chr1,850855,860855,.,0,0,1,0,0
chr1,851713,861713,.,0,0,1,0,1
chr1,853447,863447,.,0,0,1,0,0
chr1,913504,923504,.,0,1,1,1,1
chr1,931859,941859,.,0,0,1,1,0
chr1,937081,947081,.,0,0,0,1,0
chr1,940889,950889,.,0,1,1,1,1
chr1,951664,961664,.,1,1,1,1,1
chr1,988663,998663,.,0,0,0,1,1
chr1,989302,999302,.,0,1,1,1,1
chr1,999765,1009765,.,1,1,1,1,1
chr1,1000420,1010420,.,0,0,0,0,1
chr1,1003827,1013827,.,0,0,0,0,1
chr1,1009858,1019858,.,1,1,1,1,1
chr1,1055999,1065999,.,0,0,0,1,1
chr1,1058978,1068978,.,0,0,0,1,0
chr1,1065943,1075943,.,0,0,1,0,1
chr1,1088953,1098953,.,0,1,0,0,0
chr1,1102301,1112301,.,0,1,0,0,0
chr1,1131397,1141397,.,0,1,0,0,1
chr1,1131876,1141876,.,0,1,0,0,1
chr1,1139448,1149448,.,0,1,0,0,0
chr1,1168660,1178660,.,0,1,0,1,0
chr1,1181466,1191466,.,0,1,0,0,0
chr1,1260828,1270828,.,0,0,1,0,1
chr1,1278138,1288138,.,0,0,1,1,0
chr1,1281879,1291879,.,1,0,1,0,0
chr1,1289876,1299876,.,0,0,1,0,0
chr1,1291025,1301025,.,1,0,1,1,1
chr1,1338545,1348545,.,0,1,1,1,1
chr1,1363619,1373619,.,0,0,1,1,1
chr1,1604849,1614849,.,0,1,0,0,0
chr1,1606959,1616959,.,0,0,0,0,1
chr1,1702006,1712006,.,0,1,0,0,0
chr1,1703979,1713979,.,0,1,1,1,1
chr1,1709565,1719565,.,0,1,0,0,1
chr1,1739431,1749431,.,0,1,0,1,1
chr1,1767157,1777157,.,0,0,1,0,0
chr1,1788844,1798844,.,0,0,1,1,0
chr1,1798273,1808273,.,1,1,0,1,1
chr1,1810034,1820034,.,1,1,1,1,1
chr1,1835667,1845667,.,0,1,1,1,1
chr1,1946724,1956724,.,0,1,0,0,0
chr1,1973886,1983886,.,0,0,0,1,0
chr1,2063762,2073762,.,0,0,1,0,0
chr1,2106936,2116936,.,0,0,1,0,1
chr1,2130926,2140926,.,0,1,0,1,1
chr1,2135251,2145251,.,1,0,1,1,1
chr1,2167269,2177269,.,0,0,0,1,1
chr1,2225768,2235768,.,1,1,0,0,0
chr1,2227045,2237045,.,0,1,0,0,0
chr1,2227682,2237682,.,0,1,0,0,0
chr1,2240875,2250875,.,0,0,1,1,0
chr1,2241721,2251721,.,0,1,0,1,1
chr1,2248698,2258698,.,1,0,0,0,0
chr1,2249151,2259151,.,0,0,1,0,0
chr1,2472659,2482659,.,0,1,1,1,1
chr1,2473473,2483473,.,1,1,1,0,1
chr1,2504854,2514854,.,0,1,1,1,0
chr1,2569100,2579100,.,0,1,1,0,0
chr1,2569704,2579704,.,1,1,1,1,1
chr1,3082112,3092112,.,0,0,0,1,0
chr1,3131055,3141055,.,0,0,0,1,0
chr1,3224864,3234864,.,0,0,0,1,0
chr1,3226227,3236227,.,0,0,0,1,0
chr1,3227838,3237838,.,0,0,0,1,0
chr1,3232289,3242289,.,0,0,0,1,0
chr1,3238539,3248539,.,0,0,0,1,0
chr1,3246889,3256889,.,0,0,0,1,0
chr1,3262543,3272543,.,0,0,0,1,0
chr1,3368817,3378817,.,0,0,0,1,0
chr1,3369966,3379966,.,0,0,1,1,0
chr1,3372319,3382319,.,0,0,0,1,0
chr1,3394028,3404028,.,0,0,1,1,0
chr1,3415919,3425919,.,0,0,1,0,0
chr1,3455077,3465077,.,0,0,1,0,0
chr1,3459144,3469144,.,0,0,1,0,0
chr1,3516413,3526413,.,1,0,0,0,0
chr1,3568471,3578471,.,0,1,0,0,0
chr1,3576599,3586599,.,0,1,0,0,0
chr1,3577250,3587250,.,0,1,0,0,0
chr1,3585372,3595372,.,0,1,0,0,0
chr1,3589247,3599247,.,0,1,0,0,0
chr1,3604359,3614359,.,0,1,0,0,0
chr1,3615179,3625179,.,0,0,0,0,1
