chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
chr1,834995,844995,.,1,0,1,0,1
chr1,835981,845981,.,0,1,1,0,1
chr1,840581,850581,.,0,0,0,0,1
chr1,850960,860960,.,0,0,1,0,0
chr1,851648,861648,.,0,0,1,0,1
chr1,853452,863452,.,0,0,1,0,0
chr1,913502,923502,.,0,1,1,1,1
chr1,931895,941895,.,0,0,1,1,0
chr1,936963,946963,.,0,0,0,1,0
chr1,940901,950901,.,0,1,1,1,1
chr1,951687,961687,.,1,1,1,1,1
chr1,988688,998688,.,0,0,0,1,1
chr1,989325,999325,.,0,1,1,1,1
chr1,999816,1009816,.,1,1,1,1,1
chr1,1000420,1010420,.,0,0,0,0,1
chr1,1003804,1013804,.,0,0,0,0,1
chr1,1009964,1019964,.,1,1,1,1,1
chr1,1056000,1066000,.,0,0,0,1,1
chr1,1059012,1069012,.,0,0,0,1,0
chr1,1065948,1075948,.,0,0,1,0,1
chr1,1088784,1098784,.,0,1,0,0,0
chr1,1102314,1112314,.,0,1,0,0,0
chr1,1131269,1141269,.,0,1,0,0,1
chr1,1131906,1141906,.,0,1,0,0,1
chr1,1139462,1149462,.,0,1,0,0,0
chr1,1168561,1178561,.,0,1,0,1,0
chr1,1181449,1191449,.,0,1,0,0,0
chr1,1260828,1270828,.,0,0,1,0,1
chr1,1278342,1288342,.,0,0,1,1,0
chr1,1281880,1291880,.,1,0,1,0,0
chr1,1289858,1299858,.,0,0,1,0,0
chr1,1290933,1300933,.,1,0,1,1,1
chr1,1338563,1348563,.,0,1,1,1,1
chr1,1363628,1373628,.,0,0,1,1,1
chr1,1604741,1614741,.,0,1,0,0,0
chr1,1606959,1616959,.,0,0,0,0,1
chr1,1701991,1711991,.,0,1,0,0,0
chr1,1704086,1714086,.,0,1,1,1,1
chr1,1709367,1719367,.,0,1,0,0,1
chr1,1739429,1749429,.,0,1,0,1,1
chr1,1767182,1777182,.,0,0,1,0,0
chr1,1788845,1798845,.,0,0,1,1,0
chr1,1798208,1808208,.,1,1,0,1,1
chr1,1809943,1819943,.,1,1,1,1,1
chr1,1835642,1845642,.,0,1,1,1,1
chr1,1946590,1956590,.,0,1,0,0,0
chr1,1973834,1983834,.,0,0,0,1,0
chr1,2063759,2073759,.,0,0,1,0,0
chr1,2106754,2116754,.,0,0,1,0,1
chr1,2131035,2141035,.,0,1,0,1,1
chr1,2135244,2145244,.,1,0,1,1,1
chr1,2167263,2177263,.,0,0,0,1,1
chr1,2225786,2235786,.,1,1,0,0,0
chr1,2226938,2236938,.,0,1,0,0,0
chr1,2227662,2237662,.,0,1,0,0,0
chr1,2240945,2250945,.,0,0,1,1,0
chr1,2241659,2251659,.,0,1,0,1,1
chr1,2248697,2258697,.,1,0,0,0,0
chr1,2249155,2259155,.,0,0,1,0,0
chr1,2472693,2482693,.,0,1,1,1,1
chr1,2473546,2483546,.,1,1,1,0,1
chr1,2504950,2514950,.,0,1,1,1,0
chr1,2569111,2579111,.,0,1,1,0,0
chr1,2569553,2579553,.,1,1,1,1,1
chr1,3082126,3092126,.,0,0,0,1,0
chr1,3131110,3141110,.,0,0,0,1,0
chr1,3224934,3234934,.,0,0,0,1,0
chr1,3226223,3236223,.,0,0,0,1,0
chr1,3227839,3237839,.,0,0,0,1,0
chr1,3232341,3242341,.,0,0,0,1,0
chr1,3238539,3248539,.,0,0,0,1,0
chr1,3246889,3256889,.,0,0,0,1,0
chr1,3262543,3272543,.,0,0,0,1,0
