,chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
0,chr1,839637,839937,.,1,0,1,0,1
1,chr1,840661,840961,.,0,1,1,0,1
2,chr1,845431,845731,.,0,0,0,0,1
3,chr1,855705,856005,.,0,0,1,0,0
4,chr1,856563,856863,.,0,0,1,0,1
5,chr1,858297,858597,.,0,0,1,0,0
6,chr1,918354,918654,.,0,1,1,1,1
7,chr1,936709,937009,.,0,0,1,1,0
8,chr1,941931,942231,.,0,0,0,1,0
9,chr1,945739,946039,.,0,1,1,1,1
10,chr1,956514,956814,.,1,1,1,1,1
11,chr1,993513,993813,.,0,0,0,1,1
12,chr1,994152,994452,.,0,1,1,1,1
13,chr1,1004615,1004915,.,1,1,1,1,1
14,chr1,1005270,1005570,.,0,0,0,0,1
15,chr1,1008677,1008977,.,0,0,0,0,1
16,chr1,1014708,1015008,.,1,1,1,1,1
17,chr1,1060849,1061149,.,0,0,0,1,1
18,chr1,1063828,1064128,.,0,0,0,1,0
19,chr1,1070793,1071093,.,0,0,1,0,1
20,chr1,1093803,1094103,.,0,1,0,0,0
21,chr1,1107151,1107451,.,0,1,0,0,0
22,chr1,1136247,1136547,.,0,1,0,0,1
23,chr1,1136726,1137026,.,0,1,0,0,1
24,chr1,1144298,1144598,.,0,1,0,0,0
25,chr1,1173510,1173810,.,0,1,0,1,0
26,chr1,1186316,1186616,.,0,1,0,0,0
27,chr1,1265678,1265978,.,0,0,1,0,1
28,chr1,1282988,1283288,.,0,0,1,1,0
29,chr1,1286729,1287029,.,1,0,1,0,0
30,chr1,1294726,1295026,.,0,0,1,0,0
31,chr1,1295875,1296175,.,1,0,1,1,1
32,chr1,1343395,1343695,.,0,1,1,1,1
33,chr1,1368469,1368769,.,0,0,1,1,1
34,chr1,1609699,1609999,.,0,1,0,0,0
35,chr1,1611809,1612109,.,0,0,0,0,1
36,chr1,1706856,1707156,.,0,1,0,0,0
37,chr1,1708829,1709129,.,0,1,1,1,1
38,chr1,1714415,1714715,.,0,1,0,0,1
39,chr1,1744281,1744581,.,0,1,0,1,1
40,chr1,1772007,1772307,.,0,0,1,0,0
41,chr1,1793694,1793994,.,0,0,1,1,0
42,chr1,1803123,1803423,.,1,1,0,1,1
43,chr1,1814884,1815184,.,1,1,1,1,1
44,chr1,1840517,1840817,.,0,1,1,1,1
45,chr1,1951574,1951874,.,0,1,0,0,0
46,chr1,1978736,1979036,.,0,0,0,1,0
47,chr1,2068612,2068912,.,0,0,1,0,0
48,chr1,2111786,2112086,.,0,0,1,0,1
49,chr1,2135776,2136076,.,0,1,0,1,1
50,chr1,2140101,2140401,.,1,0,1,1,1
51,chr1,2172119,2172419,.,0,0,0,1,1
52,chr1,2230618,2230918,.,1,1,0,0,0
53,chr1,2231895,2232195,.,0,1,0,0,0
54,chr1,2232532,2232832,.,0,1,0,0,0
55,chr1,2245725,2246025,.,0,0,1,1,0
56,chr1,2246571,2246871,.,0,1,0,1,1
57,chr1,2253548,2253848,.,1,0,0,0,0
58,chr1,2254001,2254301,.,0,0,1,0,0
59,chr1,2477509,2477809,.,0,1,1,1,1
60,chr1,2478323,2478623,.,1,1,1,0,1
61,chr1,2509704,2510004,.,0,1,1,1,0
62,chr1,2573950,2574250,.,0,1,1,0,0
63,chr1,2574554,2574854,.,1,1,1,1,1
64,chr1,3086962,3087262,.,0,0,0,1,0
65,chr1,3135905,3136205,.,0,0,0,1,0
66,chr1,3229714,3230014,.,0,0,0,1,0
67,chr1,3231077,3231377,.,0,0,0,1,0
68,chr1,3232688,3232988,.,0,0,0,1,0
69,chr1,3237139,3237439,.,0,0,0,1,0
70,chr1,3243389,3243689,.,0,0,0,1,0
