,chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
0,chr1,839845,840145,.,1,0,1,0,1
1,chr1,840831,841131,.,0,1,1,0,1
2,chr1,845431,845731,.,0,0,0,0,1
3,chr1,855810,856110,.,0,0,1,0,0
4,chr1,856498,856798,.,0,0,1,0,1
5,chr1,858302,858602,.,0,0,1,0,0
6,chr1,918352,918652,.,0,1,1,1,1
7,chr1,936745,937045,.,0,0,1,1,0
8,chr1,941813,942113,.,0,0,0,1,0
9,chr1,945751,946051,.,0,1,1,1,1
10,chr1,956537,956837,.,1,1,1,1,1
11,chr1,993538,993838,.,0,0,0,1,1
12,chr1,994175,994475,.,0,1,1,1,1
13,chr1,1004666,1004966,.,1,1,1,1,1
14,chr1,1005270,1005570,.,0,0,0,0,1
15,chr1,1008654,1008954,.,0,0,0,0,1
16,chr1,1014814,1015114,.,1,1,1,1,1
17,chr1,1060850,1061150,.,0,0,0,1,1
18,chr1,1063862,1064162,.,0,0,0,1,0
19,chr1,1070798,1071098,.,0,0,1,0,1
20,chr1,1093634,1093934,.,0,1,0,0,0
21,chr1,1107164,1107464,.,0,1,0,0,0
22,chr1,1136119,1136419,.,0,1,0,0,1
23,chr1,1136756,1137056,.,0,1,0,0,1
24,chr1,1144312,1144612,.,0,1,0,0,0
25,chr1,1173411,1173711,.,0,1,0,1,0
26,chr1,1186299,1186599,.,0,1,0,0,0
27,chr1,1265678,1265978,.,0,0,1,0,1
28,chr1,1283192,1283492,.,0,0,1,1,0
29,chr1,1286730,1287030,.,1,0,1,0,0
30,chr1,1294708,1295008,.,0,0,1,0,0
31,chr1,1295783,1296083,.,1,0,1,1,1
32,chr1,1343413,1343713,.,0,1,1,1,1
33,chr1,1368478,1368778,.,0,0,1,1,1
34,chr1,1609591,1609891,.,0,1,0,0,0
35,chr1,1611809,1612109,.,0,0,0,0,1
36,chr1,1706841,1707141,.,0,1,0,0,0
37,chr1,1708936,1709236,.,0,1,1,1,1
38,chr1,1714217,1714517,.,0,1,0,0,1
39,chr1,1744279,1744579,.,0,1,0,1,1
40,chr1,1772032,1772332,.,0,0,1,0,0
41,chr1,1793695,1793995,.,0,0,1,1,0
42,chr1,1803058,1803358,.,1,1,0,1,1
43,chr1,1814793,1815093,.,1,1,1,1,1
44,chr1,1840492,1840792,.,0,1,1,1,1
45,chr1,1951440,1951740,.,0,1,0,0,0
46,chr1,1978684,1978984,.,0,0,0,1,0
47,chr1,2068609,2068909,.,0,0,1,0,0
48,chr1,2111604,2111904,.,0,0,1,0,1
49,chr1,2135885,2136185,.,0,1,0,1,1
50,chr1,2140094,2140394,.,1,0,1,1,1
51,chr1,2172113,2172413,.,0,0,0,1,1
52,chr1,2230636,2230936,.,1,1,0,0,0
53,chr1,2231788,2232088,.,0,1,0,0,0
54,chr1,2232512,2232812,.,0,1,0,0,0
55,chr1,2245795,2246095,.,0,0,1,1,0
56,chr1,2246509,2246809,.,0,1,0,1,1
57,chr1,2253547,2253847,.,1,0,0,0,0
58,chr1,2254005,2254305,.,0,0,1,0,0
