chromosome,start,end,strand,A549,CACO2,GM12878,H1,H9,HEK293,HELAS3,HEPG2,HL60,JURKAT,K562,MCF7,PC3
chr1,839845,840145,.,1,0,0,0,0,1,1,0,1,0,1,0,0
chr1,840831,841131,.,0,0,1,0,1,0,1,0,1,0,1,0,0
chr1,845431,845731,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,855810,856110,.,0,0,0,1,1,0,1,0,0,0,0,0,0
chr1,856498,856798,.,0,0,0,0,0,1,1,0,0,0,1,0,0
chr1,858302,858602,.,0,0,0,0,0,1,1,0,0,0,0,1,0
chr1,868474,868774,.,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,918352,918652,.,0,0,1,1,0,0,1,1,0,0,1,0,1
chr1,936745,937045,.,0,1,0,0,0,0,1,1,0,0,0,0,1
chr1,941813,942113,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,945751,946051,.,0,1,1,1,1,1,1,1,0,0,1,1,0
chr1,956537,956837,.,1,1,1,1,1,0,1,1,0,0,1,1,1
chr1,993538,993838,.,0,1,0,0,0,0,0,1,0,0,1,0,1
chr1,994175,994475,.,0,0,1,0,0,0,1,1,0,0,1,0,1
chr1,1004666,1004966,.,1,1,1,1,1,1,1,1,1,1,1,1,1
chr1,1005270,1005570,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,1008654,1008954,.,0,0,0,0,1,0,0,0,0,0,1,1,0
chr1,1014814,1015114,.,1,1,1,0,1,1,1,1,0,0,1,1,1
chr1,1060850,1061150,.,0,1,0,0,0,0,0,1,0,0,1,0,0
chr1,1063862,1064162,.,0,1,0,0,0,0,0,1,0,0,0,0,0
chr1,1070798,1071098,.,0,0,0,0,0,0,1,0,0,0,1,0,0
chr1,1093634,1093934,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1107164,1107464,.,0,0,1,1,0,0,0,0,0,0,0,0,0
chr1,1136119,1136419,.,0,0,1,1,1,0,0,0,0,0,1,0,0
