chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
chr1,838287,841287,.,1,0,1,0,1
chr1,839311,842311,.,0,1,1,0,1
chr1,844081,847081,.,0,0,0,0,1
chr1,854355,857355,.,0,0,1,0,0
chr1,855213,858213,.,0,0,1,0,1
chr1,856947,859947,.,0,0,1,0,0
chr1,917004,920004,.,0,1,1,1,1
chr1,935359,938359,.,0,0,1,1,0
chr1,940581,943581,.,0,0,0,1,0
chr1,944389,947389,.,0,1,1,1,1
chr1,955164,958164,.,1,1,1,1,1
chr1,992163,995163,.,0,0,0,1,1
chr1,992802,995802,.,0,1,1,1,1
chr1,1003265,1006265,.,1,1,1,1,1
chr1,1003920,1006920,.,0,0,0,0,1
chr1,1007327,1010327,.,0,0,0,0,1
chr1,1013358,1016358,.,1,1,1,1,1
chr1,1059499,1062499,.,0,0,0,1,1
chr1,1062478,1065478,.,0,0,0,1,0
chr1,1069443,1072443,.,0,0,1,0,1
chr1,1092453,1095453,.,0,1,0,0,0
chr1,1105801,1108801,.,0,1,0,0,0
chr1,1134897,1137897,.,0,1,0,0,1
chr1,1135376,1138376,.,0,1,0,0,1
chr1,1142948,1145948,.,0,1,0,0,0
chr1,1172160,1175160,.,0,1,0,1,0
chr1,1184966,1187966,.,0,1,0,0,0
chr1,1264328,1267328,.,0,0,1,0,1
chr1,1281638,1284638,.,0,0,1,1,0
chr1,1285379,1288379,.,1,0,1,0,0
chr1,1293376,1296376,.,0,0,1,0,0
chr1,1294525,1297525,.,1,0,1,1,1
chr1,1342045,1345045,.,0,1,1,1,1
chr1,1367119,1370119,.,0,0,1,1,1
chr1,1608349,1611349,.,0,1,0,0,0
chr1,1610459,1613459,.,0,0,0,0,1
chr1,1705506,1708506,.,0,1,0,0,0
chr1,1707479,1710479,.,0,1,1,1,1
chr1,1713065,1716065,.,0,1,0,0,1
chr1,1742931,1745931,.,0,1,0,1,1
chr1,1770657,1773657,.,0,0,1,0,0
