chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
chr1,837495,842495,.,1,0,1,0,1
chr1,838481,843481,.,0,1,1,0,1
chr1,843081,848081,.,0,0,0,0,1
chr1,853460,858460,.,0,0,1,0,0
chr1,854148,859148,.,0,0,1,0,1
chr1,855952,860952,.,0,0,1,0,0
chr1,916002,921002,.,0,1,1,1,1
chr1,934395,939395,.,0,0,1,1,0
chr1,939463,944463,.,0,0,0,1,0
chr1,943401,948401,.,0,1,1,1,1
chr1,954187,959187,.,1,1,1,1,1
chr1,991188,996188,.,0,0,0,1,1
chr1,991825,996825,.,0,1,1,1,1
chr1,1002316,1007316,.,1,1,1,1,1
chr1,1002920,1007920,.,0,0,0,0,1
chr1,1006304,1011304,.,0,0,0,0,1
chr1,1012464,1017464,.,1,1,1,1,1
chr1,1058500,1063500,.,0,0,0,1,1
chr1,1061512,1066512,.,0,0,0,1,0
chr1,1068448,1073448,.,0,0,1,0,1
chr1,1091284,1096284,.,0,1,0,0,0
chr1,1104814,1109814,.,0,1,0,0,0
chr1,1133769,1138769,.,0,1,0,0,1
chr1,1134406,1139406,.,0,1,0,0,1
chr1,1141962,1146962,.,0,1,0,0,0
chr1,1171061,1176061,.,0,1,0,1,0
chr1,1183949,1188949,.,0,1,0,0,0
chr1,1263328,1268328,.,0,0,1,0,1
chr1,1280842,1285842,.,0,0,1,1,0
chr1,1284380,1289380,.,1,0,1,0,0
chr1,1292358,1297358,.,0,0,1,0,0
chr1,1293433,1298433,.,1,0,1,1,1
chr1,1341063,1346063,.,0,1,1,1,1
chr1,1366128,1371128,.,0,0,1,1,1
chr1,1607241,1612241,.,0,1,0,0,0
chr1,1609459,1614459,.,0,0,0,0,1
chr1,1704491,1709491,.,0,1,0,0,0
chr1,1706586,1711586,.,0,1,1,1,1
chr1,1711867,1716867,.,0,1,0,0,1
chr1,1741929,1746929,.,0,1,0,1,1
chr1,1769682,1774682,.,0,0,1,0,0
chr1,1791345,1796345,.,0,0,1,1,0
chr1,1800708,1805708,.,1,1,0,1,1
chr1,1812443,1817443,.,1,1,1,1,1
chr1,1838142,1843142,.,0,1,1,1,1
chr1,1949090,1954090,.,0,1,0,0,0
chr1,1976334,1981334,.,0,0,0,1,0
chr1,2066259,2071259,.,0,0,1,0,0
chr1,2109254,2114254,.,0,0,1,0,1
chr1,2133535,2138535,.,0,1,0,1,1
chr1,2137744,2142744,.,1,0,1,1,1
chr1,2169763,2174763,.,0,0,0,1,1
chr1,2228286,2233286,.,1,1,0,0,0
chr1,2229438,2234438,.,0,1,0,0,0
chr1,2230162,2235162,.,0,1,0,0,0
chr1,2243445,2248445,.,0,0,1,1,0
chr1,2244159,2249159,.,0,1,0,1,1
chr1,2251197,2256197,.,1,0,0,0,0
chr1,2251655,2256655,.,0,0,1,0,0
chr1,2475193,2480193,.,0,1,1,1,1
chr1,2476046,2481046,.,1,1,1,0,1
chr1,2507450,2512450,.,0,1,1,1,0
chr1,2571611,2576611,.,0,1,1,0,0
chr1,2572053,2577053,.,1,1,1,1,1
chr1,3084626,3089626,.,0,0,0,1,0
chr1,3133610,3138610,.,0,0,0,1,0
chr1,3227434,3232434,.,0,0,0,1,0
chr1,3228723,3233723,.,0,0,0,1,0
chr1,3230339,3235339,.,0,0,0,1,0
chr1,3234841,3239841,.,0,0,0,1,0
chr1,3241039,3246039,.,0,0,0,1,0
chr1,3249389,3254389,.,0,0,0,1,0
chr1,3265043,3270043,.,0,0,0,1,0
chr1,3371361,3376361,.,0,0,0,1,0
chr1,3372621,3377621,.,0,0,1,1,0
chr1,3374806,3379806,.,0,0,0,1,0
chr1,3396489,3401489,.,0,0,1,1,0
chr1,3418413,3423413,.,0,0,1,0,0
chr1,3457552,3462552,.,0,0,1,0,0
chr1,3461597,3466597,.,0,0,1,0,0
chr1,3518890,3523890,.,1,0,0,0,0
chr1,3570971,3575971,.,0,1,0,0,0
