,chromosome,start,end,strand,A549,GM12878,HELAS3,HEPG2,K562
0,chr1,837287,842287,.,1,0,1,0,1
1,chr1,838311,843311,.,0,1,1,0,1
2,chr1,843081,848081,.,0,0,0,0,1
3,chr1,853355,858355,.,0,0,1,0,0
4,chr1,854213,859213,.,0,0,1,0,1
5,chr1,855947,860947,.,0,0,1,0,0
6,chr1,916004,921004,.,0,1,1,1,1
7,chr1,934359,939359,.,0,0,1,1,0
8,chr1,939581,944581,.,0,0,0,1,0
9,chr1,943389,948389,.,0,1,1,1,1
10,chr1,954164,959164,.,1,1,1,1,1
11,chr1,991163,996163,.,0,0,0,1,1
12,chr1,991802,996802,.,0,1,1,1,1
13,chr1,1002265,1007265,.,1,1,1,1,1
14,chr1,1002920,1007920,.,0,0,0,0,1
15,chr1,1006327,1011327,.,0,0,0,0,1
16,chr1,1012358,1017358,.,1,1,1,1,1
17,chr1,1058499,1063499,.,0,0,0,1,1
18,chr1,1061478,1066478,.,0,0,0,1,0
19,chr1,1068443,1073443,.,0,0,1,0,1
20,chr1,1091453,1096453,.,0,1,0,0,0
21,chr1,1104801,1109801,.,0,1,0,0,0
22,chr1,1133897,1138897,.,0,1,0,0,1
23,chr1,1134376,1139376,.,0,1,0,0,1
24,chr1,1141948,1146948,.,0,1,0,0,0
25,chr1,1171160,1176160,.,0,1,0,1,0
26,chr1,1183966,1188966,.,0,1,0,0,0
27,chr1,1263328,1268328,.,0,0,1,0,1
28,chr1,1280638,1285638,.,0,0,1,1,0
29,chr1,1284379,1289379,.,1,0,1,0,0
30,chr1,1292376,1297376,.,0,0,1,0,0
31,chr1,1293525,1298525,.,1,0,1,1,1
32,chr1,1341045,1346045,.,0,1,1,1,1
33,chr1,1366119,1371119,.,0,0,1,1,1
34,chr1,1607349,1612349,.,0,1,0,0,0
35,chr1,1609459,1614459,.,0,0,0,0,1
36,chr1,1704506,1709506,.,0,1,0,0,0
37,chr1,1706479,1711479,.,0,1,1,1,1
38,chr1,1712065,1717065,.,0,1,0,0,1
39,chr1,1741931,1746931,.,0,1,0,1,1
40,chr1,1769657,1774657,.,0,0,1,0,0
