chromosome,start,end,strand,A549,CACO2,GM12878,H1,H9,HEK293,HELAS3,HEPG2,HL60,JURKAT,K562,MCF7,PC3
chr1,839537,840037,.,1,0,0,0,0,1,1,0,1,0,1,0,0
chr1,840561,841061,.,0,0,1,0,1,0,1,0,1,0,1,0,0
chr1,845331,845831,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,855605,856105,.,0,0,0,1,1,0,1,0,0,0,0,0,0
chr1,856463,856963,.,0,0,0,0,0,1,1,0,0,0,1,0,0
chr1,858197,858697,.,0,0,0,0,0,1,1,0,0,0,0,1,0
chr1,868374,868874,.,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,918254,918754,.,0,0,1,1,0,0,1,1,0,0,1,0,1
chr1,936609,937109,.,0,1,0,0,0,0,1,1,0,0,0,0,1
chr1,941831,942331,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,945639,946139,.,0,1,1,1,1,1,1,1,0,0,1,1,0
chr1,956414,956914,.,1,1,1,1,1,0,1,1,0,0,1,1,1
chr1,993413,993913,.,0,1,0,0,0,0,0,1,0,0,1,0,1
chr1,994052,994552,.,0,0,1,0,0,0,1,1,0,0,1,0,1
chr1,1004515,1005015,.,1,1,1,1,1,1,1,1,1,1,1,1,1
chr1,1005170,1005670,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,1008577,1009077,.,0,0,0,0,1,0,0,0,0,0,1,1,0
chr1,1014608,1015108,.,1,1,1,0,1,1,1,1,0,0,1,1,1
chr1,1060749,1061249,.,0,1,0,0,0,0,0,1,0,0,1,0,0
chr1,1063728,1064228,.,0,1,0,0,0,0,0,1,0,0,0,0,0
chr1,1070693,1071193,.,0,0,0,0,0,0,1,0,0,0,1,0,0
chr1,1093703,1094203,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1107051,1107551,.,0,0,1,1,0,0,0,0,0,0,0,0,0
chr1,1136147,1136647,.,0,0,1,1,1,0,0,0,0,0,1,0,0
chr1,1136626,1137126,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,1144198,1144698,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1173410,1173910,.,0,0,1,0,1,0,0,1,0,0,0,0,1
chr1,1186216,1186716,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1265578,1266078,.,0,0,0,0,0,0,1,0,0,0,1,0,1
chr1,1282888,1283388,.,0,0,0,0,0,0,1,1,0,0,0,1,1
chr1,1286629,1287129,.,1,0,0,0,0,0,1,0,0,0,0,0,0
chr1,1294626,1295126,.,0,0,0,0,1,0,1,0,0,0,0,0,0
chr1,1295775,1296275,.,1,0,0,0,1,0,1,1,0,1,1,0,1
chr1,1343295,1343795,.,0,0,1,1,1,1,1,1,1,0,1,0,1
chr1,1368369,1368869,.,0,1,0,1,1,0,1,1,0,0,1,0,0
chr1,1456437,1456937,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,1609599,1610099,.,0,0,1,1,0,0,0,0,0,0,0,1,0
chr1,1611709,1612209,.,0,0,0,1,0,1,0,0,0,1,1,0,1
chr1,1706756,1707256,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1708729,1709229,.,0,0,1,1,1,1,1,1,0,1,1,1,1
chr1,1714315,1714815,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,1744181,1744681,.,0,0,1,0,0,0,0,1,0,0,1,0,0
chr1,1771907,1772407,.,0,0,0,0,1,0,1,0,0,0,0,0,0
chr1,1793594,1794094,.,0,1,0,0,0,0,1,1,1,0,0,0,1
chr1,1803023,1803523,.,1,0,1,1,1,0,0,1,1,0,1,1,1
chr1,1814784,1815284,.,1,1,1,1,0,0,1,1,1,1,1,0,1
chr1,1840417,1840917,.,0,1,1,1,1,1,1,1,1,1,1,1,1
chr1,1951474,1951974,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,1952008,1952508,.,0,1,0,0,0,0,0,0,0,0,0,0,0
chr1,1978636,1979136,.,0,1,0,1,1,0,0,1,0,0,0,0,0
chr1,2059712,2060212,.,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,2068512,2069012,.,0,0,0,0,1,0,1,0,0,0,0,1,0
chr1,2082648,2083148,.,0,0,0,0,0,0,0,0,1,0,0,0,0
chr1,2111686,2112186,.,0,0,0,0,0,0,1,0,0,0,1,0,1
chr1,2135676,2136176,.,0,0,1,0,0,0,0,1,0,0,1,0,0
chr1,2140001,2140501,.,1,0,0,0,0,0,1,1,0,0,1,0,1
chr1,2162482,2162982,.,0,0,0,1,0,0,0,0,0,0,0,0,1
chr1,2172019,2172519,.,0,0,0,0,0,0,0,1,0,0,1,0,0
chr1,2177481,2177981,.,0,0,0,0,0,1,0,0,0,0,0,0,1
chr1,2230518,2231018,.,1,0,1,0,0,0,0,0,0,0,0,0,0
chr1,2231795,2232295,.,0,0,1,0,0,1,0,0,0,0,0,0,0
chr1,2232432,2232932,.,0,0,1,0,0,0,0,0,1,1,0,0,0
chr1,2245625,2246125,.,0,1,0,1,1,1,1,1,0,0,0,0,1
chr1,2246471,2246971,.,0,0,1,1,1,0,0,1,0,1,1,0,0
chr1,2253448,2253948,.,1,0,0,1,0,0,0,0,0,0,0,0,1
chr1,2253901,2254401,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,2477409,2477909,.,0,1,1,1,1,1,1,1,1,1,1,1,1
chr1,2478223,2478723,.,1,1,1,1,1,1,1,0,0,0,1,0,1
chr1,2509604,2510104,.,0,0,1,1,0,0,1,1,0,0,0,0,1
chr1,2573850,2574350,.,0,0,1,1,1,0,1,0,0,0,0,0,0
chr1,2574454,2574954,.,1,1,1,1,1,1,1,1,0,1,1,1,1
chr1,2804852,2805352,.,0,0,0,0,0,0,0,0,0,1,0,0,0
chr1,3086862,3087362,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3111688,3112188,.,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,3128566,3129066,.,0,0,0,0,1,0,0,0,0,0,0,0,0
chr1,3133823,3134323,.,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,3135805,3136305,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3229614,3230114,.,0,0,0,0,0,1,0,1,0,0,0,0,0
chr1,3230977,3231477,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3231344,3231844,.,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,3232588,3233088,.,0,0,0,0,0,1,0,1,0,0,0,0,0
chr1,3237039,3237539,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3243289,3243789,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3251639,3252139,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3267293,3267793,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3269079,3269579,.,0,0,0,1,0,1,0,0,0,0,0,0,0
chr1,3309876,3310376,.,0,0,0,0,1,0,0,0,0,0,0,0,0
chr1,3325625,3326125,.,0,0,0,0,0,0,0,0,0,1,0,0,0
chr1,3373567,3374067,.,0,0,0,0,1,0,0,1,0,0,0,0,0
chr1,3374716,3375216,.,0,0,0,0,0,0,1,1,0,0,0,0,0
chr1,3377069,3377569,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,3398778,3399278,.,0,0,0,0,0,0,1,1,0,0,0,0,0
